province,population,population_year
Anhui,61027171,2020
Beijing,21893095,2020
Chongqing,32054159,2020
Fujian,41540086,2020
Gansu,25019831,2020
Guangdong,126012510,2020
Guangxi,50126804,2020
Guizhou,38562148,2020
Hainan,10081232,2020
Hebei,74610235,2020
Heilongjiang,31850088,2020
Henan,99365519,2020
Hong Kong,7413070,2021
Hubei,57752557,2020
Hunan,66444864,2020
Inner Mongolia,24049155,2020
Jiangsu,84748016,2020
Jiangxi,45188635,2020
Jilin,24073453,2020
Liaoning,42591407,2020
Ningxia,7202654,2020
Qinghai,5923957,2020
Shaanxi,39528999,2020
Shandong,101527453,2020
Shanghai,24870895,2020
Shanxi,34915616,2020
Sichuan,83674866,2020
Tianjin,13866009,2020
Tibet Autonomous Region,3648100,2020
Xinjiang,25852345,2020
Yunnan,47209277,2020
Zhejiang,64567588,2020
